name,price,description
福星富贵礼盒500ML*2*4(盒),1, 
福星高照礼盒五星450ML*6,1, 
金六福特区38度500ML*6,1, 
金六福特区52度500ML*6,1, 
金六福福根九年坛1*6,1, 
百年福根十年500ML*6,1, 
金六福镇宅之宝660ML*1,1, 
红色吉祥1*6 12瓶,1, 
金六福幸福大礼盒1*4*2,1, 
金六福福久1*4*2,1, 
金六福三星福星高照500ML*6,1, 
金六福红色经典500ML*6,1, 
金六福红标475ML*6,1, 
金六福小烧475ML*6,1, 
池之王爱你一万年500ML*6,1, 
池之王五星高樽500ML*6,1, 
池之王大白瓶500ML*6,1, 
池之王喜多发500ML*6,1, 
池之王三星干红500ML*6,1, 
池之王四星干红500ML*6,1, 
池之王寒域浓缩红500ML*6,1, 
池之王寒域浓缩白500ML*6,1, 
池之王冰蕴红375ML*8,1, 
池之王冰蕴白375ML*8,1, 
池之王精北精美混精500ML*6,1, 
池之王精北精美混美500ML*6,1, 
池之王窑藏木盒500ML*6,1, 
池之王大霜冻1.5L,1, 
池之王小霜冻750ML*6,1, 
池之王万家乐500ML*6,1, 
中沃蜜桃多1.5L*6,1, 
中沃葡萄多 1.5L*6,1, 
中沃鲜橙多 1.5L*6,1, 
中沃活耀柠檬味500ML*15,1, 
中沃活耀蜜桃味500ML*15,1, 
中沃喝蜜 500ML*15,1, 
中沃蜂蜜柚子 500ML*15,1, 
中沃体质能量（大体）580ML*15,1, 
中沃体质能量(黑体）600ML*15,1, 
中沃体质能量（小体）350ML*15,1, 
中沃红牛 500ML*15,1, 
中沃荞麦苏打水350ML*24,1, 
中沃柠檬苏打水350ML*24,1, 
圣兰娜小分子水500ML*20,1, 
昊莱福苏打水350ML*24,1, 
昊莱福山楂醋350ML*15,1, 
昊莱福西番莲350ML*15,1, 
昊莱福西番莲520ML*15,1, 
昊莱福苹果醋330ML*15,1, 
昊莱福100%草莓汁1.25L*6,1, 
昊莱福冰糖雪梨468ML*15,1, 
昊莱福山楂醋650ML*8,1, 
昊莱福苹果醋268ML*12,1, 
吉久王	500ML*6盒,1, 
养生圆苹果醋375ML*12瓶,1, 
蓝带超干1*24听,1, 
五一星啤酒1*24听,1, 
蓝剑经典（白）	1*24听,1, 
蓝剑经典（红）	1*24听,1, 
青岛纯生啤酒1*24听,1, 
富顺康草莓1*6提,1, 
富顺康红枣汁1*6提,1, 
富顺康红雪梨1*6提,1, 
小麦王啤酒1*24听,1, 
吉久王（吉祥）	1*6,1, 
皇金冠纯生1*24听,1, 
土老帽	1*6,1, 
100珍藏	1*4,1, 
杏花村口福1*6,1, 
解百纳高级750ML*6,1, 
红提子	1L*6,1, 
池之王100%原汁	1.5L*6,1, 
佰金红雅克1.75L*6,1, 
无糖葡萄酒1000L*6,1, 
小龙泉春三星250ML*20,1, 
美国加州提子1L*6,1, 
美国加州大提子	1.5L*6,1, 
山楂酒	1.5L*6,1, 
大曲瓷瓶500ML*12,1, 
德惠大曲福酒500ML*12,1, 
野生葡萄酒300ML*6,1, 
杏花村喜酒475ML*6,1, 
茅台镇礼盒1*6,1, 
大米酒（桶）1*6,1, 
龙泉春（普）250ML*20,1, 
领地，冰酒750ML*6盒,1, 
杏花村礼盒1*2瓶,1, 
华夏之心干红750ML*6桶,1, 
池之王解百纳750ML*6,1, 
醉佳人葡萄酒1500ML*6,1, 
黄金提子1L*6,1, 
佰金红雅克1.75L*6,1, 
雪中珍珠葡萄酒500ML*6,1, 
雪中珍珠葡萄酒750ML*6,1, 
通化干红1*6,1, 
通化红梅(500*6),1, 
昊来福330醋	1*15,1, 
268醋	1*12,1, 
4两陈醋	1*20,1, 
牛扁	1*40,1, 
牛光	1*12,1, 
1.5L秋林(葛瓦斯)大	1*6,1, 
小牛白酒	1*6,1, 
500ML秋林(葛瓦斯)小	1*12,1, 
52度尖庄曲酒瓶	1*12,1, 
52度尖庄曲酒盒	1*6,1, 
50度尖庄曲酒	1*12,1, 
赖矛就是建国大业	1*6,1, 
赖矛1953国窖	1*6,1, 
50度尖庄2000 	1*6,1, 
52度精品尖庄250ML	1*20,1, 
52度精品尖庄老陈酒	1*6,1, 
52度精品尖庄100ML	1*20,1, 
52度尖庄精制	1*6,1, 
源升河大米酒500ML	1*12,1, 
1.25L椰汁	1*6,1, 
245ML椰汁	1*24听,1, 
500ML椰汁	1*15瓶,1, 
参宝露500NL	1*4盒,1, 
雅客棒糖	1*4桶,1, 
小财神八方聚财	1*6,1, 
小财神恭喜发财	1*6,1, 
小财神财源广进	1*6,1, 
小财神财运亨通	1*6,1, 
小财神招财进宝	1*6,1, 
小财神四季发财	1*6,1, 
小财神财源滚滚	1*6,1, 
268G罐头	1*12,1, 
1250G罐头	1*6,1, 
830G罐头	1*12,1, 
50%精制二锅头	1*6盒,1, 
牛栏山10斤桶二锅头	1*4,1, 
牛栏山4斤桶二锅头	1*6,1, 
龙泉春宝贵凝香	1*6,1, 
龙泉春步步高升	1*6,1, 
龙泉春喜宴	1*6,1, 
龙泉春葫芦瓶瓷瓶	1*6,1, 
龙泉春普瓶(养生酒)	1*9,1, 
龙泉春玉龙	1*6,1, 
德惠大曲袋	1*9,1, 
德惠大曲普瓶	1*12,1, 
东北骄子500NL	1*9,1, 
东北骄子250NL	1*12,1, 
牛栏山百年	1*6盒,1, 
珍品老酒	1*6盒,1, 
杏花一村	1*2盒,1, 
30年窖藏	1*6盒,1, 
泸洲老窖	1*2提,1, 
老白干5年	1*6,1, 
老白干清白,1, 
泸洲老窖二曲	1*2,1, 
杏花村一坛香	1*6,1, 
赖茅20年	1*6,1, 
洮南香贵宾	1*4,1, 
金六福福星	1*6,1, 
龙泉春一星	1*6,1, 
龙泉春三星	1*6,1, 
龙泉春五星	1*6,1, 
西凤酒	1*6,1, 
封坛原浆	1*2,1, 
XO牛酒架	1*2,1, 
家常旺虎啸山河,1, 
家常旺虎玉兔,1, 
满八旗	1*12,1, 
百年佳品牛栏山	1*6,1, 
冬虫夏草50年	1*6,1, 
百年牛栏山	200ML*30瓶,1, 
XO一帆风顺,1, 
蓝莓酒	1.5L*6,1, 
蓝莓酒	1.5L*6,1, 
蓝莓酒	1L*6,1, 
金玉满堂	1.5L*6,1, 
绿提子	1L*6,1, 
美国绿提子	1L*8,1, 
大团圆	1.5L*6,1, 
霖园红750ML	1*6,1, 
昊来福蓝莓汁500ML	1*6,1, 
亿康蓝莓汁500ML	1*15,1, 
牛栏山陈酿500ML	1*15,1, 
陀牌佳酿	1*6,1, 
麦津黑啤	345ML*24,1, 
麦津黑啤	500ML*12,1, 
牛栏山瓷瓶	500ML*12,1, 
牛栏山四两	200ML*20瓶,1, 
棒糖210g*24袋,1, 
太妃糖500g*20包,1, 
水果糖390*16盒,1, 
雅克麦片巧克力360*18盒,1, 
白水杜康红色经典475ML*4*2,1, 
白水杜康国花1*2*4,1, 
白水杜康珍品450ML*4*2,1, 
白水杜康富贵吉祥1*2*4,1, 
白水杜康柔和1*2*4,1, 
珍珍系列老珍珍330ML*24,1, 
珍珍系列金荔枝330ML*24,1, 
正宗老五星1*24听,1, 
39度尖庄曲酒1*12,1, 
二代苏打水350*24,1, 
中沃黑标600*15(黑体),1, 
中沃黄标580*15(大体),1, 
芝麻240*20,1, 
礼盒芝麻240　1*3*16,1, 
中沃体质420*15(小黑体),1, 
中沃320礼盒1*3*8,1, 
中沃250礼盒1*3*20,1, 
中沃250礼盒1*3*15,1, 
中沃250礼盒1*3*15,1, 
什么醋　1*6,1, 
250香蕉奶,1, 
牛栏山十五年1*24,1, 
元力保健酒1*24,1, 
黄桃　750*12,1, 
牛栏山十五年1*24,1, 
牛栏山白盒,1, 
牛栏山大白瓶,1, 
牛栏山65度白瓶,1, 
亿康蓝莓汁礼盒1*8,1, 
天花源蓝莓汁300ML*15,1, 
天花源蓝莓汁300ML*8,1, 
天花源蓝莓汁320ML*8,1, 
杜康红色天地盖1*4*2,1, 
杜康绿色天地盖1*4*2,1, 
杜康4瓶礼盒1*4*3,1, 
皇家经典葡萄酒1*2*8,1, 
经典窖藏葡萄酒横版1*2*8,1, 
福满天下480*2*6,1, 
荣华富贵480*2*6,1, 
龙腾四海480*2*6,1, 
1250克桃,1, 
1250克什锦,1, 
880克桃,1, 
860克樱桃,1, 
750克什锦,1, 
248克什锦,1, 
果仁杏仁露1*16,1, 
果仁核桃露1*20,1, 
果仁杏仁露1*20,1, 
果仁核桃露1*16,1, 
杏仁露1*20,1, 
新品核桃露1*20,1, 
杏仁露1*16,1, 
新品核桃露1*16,1, 
维维核桃乳1*20,1, 
维维果肉椰汁1*20,1, 
维维椰子汁1*20,1, 
维维核桃露1*20,1, 
维维杏仁露1*20,1, 
维维核桃花生露1 1*20,1, 
维维杏仁核桃露 1*20,1, 
